Product Name,Internal Position,Positioning,Solution/Unique Feature,Display Support,Video Ports,Power Delivery,Ideal for,Price,End of Life
ThinkPad Universal Thunderbolt 4 Dock,Thunderbolt Docking,Premium Docking solution for power users in core industry verticals,Quadruple display support and dynamic power delivery for premium users,1 x 8K @ 30Hz or 4 x 4K @ 60Hz,"1 x HDMI 2.1, 2 x DP 1.4",100W,An enterprise grade solution for power users offering industry leading display support and premium port expansion,$319.99,N/A
ThinkPad Universal Thunderbolt 4 Workstation Dock,Thunderbolt Docking,Premium Workstation solution for advanced users in core industry verticals,230W dynamic power delivery to power workstation users,1 x 8K @ 30Hz or 4 x 4K @ 60Hz,"1 x HDMI 2.1, 2 x DP 1.4",230W,An enterprise grade solution for professional workstation users offering industry leading power delivery.  display support and premium port expansion,$349.99,N/A
ThinkPad Universal Thunderbolt 4 Smart Dock,Thunderbolt Docking,Advanced premium solution to support power users with remote cloud based management,Premium docking solution with remote cloud management,1 x 8K @ 30Hz or 4 x 4K @ 60Hz,"1 x HDMI 2.1, 2 x DP 1.4",100W,"An enterprise grade smart solution for professional workstation users offering industry leading power delivery, display support,  premium port expansion and cloud-based management",$424.99,N/A
Lenovo USB-C Universal Business Dock,USB-C Docking,Ideal docking solution with elegant design for SMB at value pricing,Modern Design aesthetic for SMB without an ethernet port,2 x 4K @ 60Hz,"1 x DisplayPort 1.4, 1 x HDMI 2.0",65W,SMB or hybrid work force offering dual display support and essential port expansion,$209.99,September 2024
ThinkPad Universal USB-C Dock,USB-C Docking,Core dock offering with multi-display support to boost productivity,Triple display support and dynamic power delivery,2 x 4K @ 60Hz & 1 x 4K @ 30Hz,"2 x DisplayPort 1.4, 1 x HDMI 2.0",100W (with 135W adapter sold separately),Complete USB-C docking solution with triple display support and optimum power delivery to notebook,$219.99,N/A
ThinkPad Hybrid USB-C with USB-A Dock,USB-C Docking,Perfect dock to support both legacy and USB-C notebooks,DisplayLink solution supporting legacy USB A notebooks and USB-C notebooks,2 x 4K @ 60Hz or 1 x 5K @ 60Hz,"2 x DisplayPort 1.2, 2 x HDMI 2.0",90W,DisplayLink based docking solution supporting both USB-A and USB-C notebooks,$249.99,N/A
ThinkPad Universal USB-C Smart Dock,USB-C Docking,Advanced docking solution with remote cloud management,IoT ready universal docking solution with remote management,2 x 4K @ 60Hz & 1 x 4K @ 30Hz,"2 x DisplayPort 1.4, 1 x HDMI 2.0",100W (with 135W adapter sold separately),"Premium USB-C docking solution offering cloud based remote management, monitoring and reporting",$259.99,N/A
Lenovo USB-C 7-in-1 Hub,USB-C Travel Docking,Thin & light port expansion for mobility,SD/TF Card Reader,1 x 4K @ 30Hz,1 x HDMI 1.4,65W,Travel solution supporting power delivery and basic port expansion,$59.99,August 2024
Lenovo Slim USB-C Travel Dock,USB-C Travel Docking,Premium USB-C port expansion in a travel sized package,2 x USB-C 3.2 Gen 2 10 Gbps ports,1 x 4K @ 60Hz,1 x HDMI 2.0,65W,Perfect travel solution for optimum power delivery and premium USB-C port expansion,$79.99,N/A
Lenovo Powered USB-C Travel Hub,USB-C Travel Docking,Travel solution with legacy port expansion and cable management,"Integrated Cable Mgmt, VGA port and wired ethernet",1 x 4K @ 60Hz,"1 x HDMI 2.0, 1 x VGA Port",65W,Customers having legacy infrastructure and/or wired LAN,$99.99,September 2024
Lenovo USB-C Mini Dock,USB-C Travel Docking,Lite docking solution with 65W Power Adapter,"Legacy VGA support, wired ethernet and inbox adapter",1 x 4K @ 60Hz,"1 x HDMI 2.0, 1 x VGA Port",65W,Travel/WFH solution supporting power delivery and basic port expansion along with ethernet,$149.99,September 2024
Lenovo Dual Display Travel Dock,USB-C Travel Docking,Portable Docking Solution with Dual Display,Highly adjustable cable management,2 x 4K @ 60Hz,"1x DP1.4, 1 x HDMI2.0",65W,Ideal for creators and professionals looking for portable docking solution,$99.99,N/A
Lenovo Dual Display Travel Dock w/ adapter,USB-C Travel Docking,Complete Dual Display Dock with Adapter,Highly adjustable cable management with inbox 100W adapter,2 x 4K @ 60Hz,"1x DP1.4, 1 x HDMI2.0",65W,Ideal for creators and professionals looking for a complete docking solution,$149.99,N/A